creation,temperatureMotor,pressurePumpIntake,pressurePumpDischarge,temperaturePumpIntake,powerOutputAmpsPH,powerOutputVolts,powerMotorAmpsPH,vibration
2017-11-14T17:27:33.918-0500,56,555,12,122,543,980,231,21
2017-11-14T17:27:33.918-0500,45,555,3123,32,543,654,321,321
2017-11-14T17:27:33.918-0500,70,55,234,54,2,7,54,654
2017-11-14T17:27:33.918-0500,55,555,432,756,2,654,676,76
2017-11-14T17:27:33.918-0500,65,555,423,23,1,675,765,233
2017-11-14T17:27:33.918-0500,60,55,4,65,1231,23,23,32
2017-11-14T17:27:33.918-0500,55,55,454,235,325,5,54,765
2017-11-14T17:27:33.918-0500,45,555,54,76,756,23,23,2
2017-11-14T17:27:33.918-0500,70,555,54,23,765,87,12,3543
2017-11-14T17:27:33.918-0500,60,555,67,654,324,23,432,65
2017-11-14T17:27:33.918-0500,60,55,765,76,5,342,12,2
2017-11-14T17:27:33.918-0500,55,55,232,64,122,76,654,34
2017-11-14T17:27:33.918-0500,60,555,65,34,124,43,654,65
2017-11-14T17:27:33.918-0500,62,555,87,765,543,42,23,76
2017-11-14T17:27:33.918-0500,55,55,65,54,6,43,12,234
2017-11-14T17:27:33.918-0500,55,55,65,54,6,43,12,234
2017-11-14T17:27:33.918-0500,50,55,65,54,6,43,12,234
2017-11-14T17:27:33.918-0500,70,55,65,54,6,43,12,234
2017-11-14T17:27:33.918-0500,65,55,65,54,6,43,12,234
2017-11-14T17:27:33.918-0500,120,55,65,54,6,43,12,234
2017-11-14T17:27:33.918-0500,40,55,65,54,6,43,12,234
